pair_id	han_sentence	viet_sentence
HVB_005_0000	鼎鍥大越歷朝登科錄序序	大越朝登科錄 ĐẠIVIỆT LỊCH TRIỀU
HVB_005_0001	高宗皇帝	Viễntồ của ông MạcđĩnhChi Đời Vua CAOTỒNG HoàngĐế
HVB_005_0002	陳朝太宗皇帝	Đời Vua THÁITÔNG HoàngĐế NĂM NHÂMTHÌN
HVB_005_0003	張粲 橫山縣人	TrươngXán Người huyện HoànhSon
HVB_005_0004	聖宗皇帝	Đời Vua THÁNHTỔNG HoàngĐế NĂM BÍNHDẦN
HVB_005_0005	榜眼一名 缺姓名	Bằngnhẳn I thiếu tên
HVB_005_0006	陳 英宗皇帝	Đời Vua ANHTÔNG HoàngĐế NĂM GIÁPTHÌN
HVB_005_0007	睿宗皇帝	Đời Vua DUỆTONG HoàngĐế NĂM GIÁP DẦN
HVB_005_0008	黃晦卿 定安沛寨人仕至安撫使再仕胡至行遣兼升華太守	Người hạt Anđịnh Bái trại làm đến chức Anphủsử lại ra giúp nhà Hồ làm đến chức Hànhkhiền kiệm chức Thảithủ ThăngHoa
HVB_005_0009	順宗皇帝	Đời vua THUẬN TÔNG HoàngĐế NĂM QUÝ DẬU
HVB_005_0010	阮誠 神溪縣人仕本朝至國監祭酒致仕以太子賓客入侍經筵	Người hạt Thầnkhẻ làm đến chức Quốctửgiám Tếtửu lấy cớ môn khách của Thái tử vào chầu Kinhdiên
HVB_005_0011	李朝惠宗皇帝	Phụ Lục Triều Lý HUỆ TÔNG Hoàngđế
HVB_005_0012	范公平 安樂縣人	Người huyện An lạc NguyễnvietChắt
HVB_005_0013	阮曰質 鳳山縣人	Người huyện Phụng sơn
HVB_005_0014	王文校 上貫縣人	VươngvănHiệu 王文校MVN Người huyện Thượnghiền
HVB_005_0015	第二甲 楊政 上福縣人	Đệ nhị Giáp DuongChánh 政
HVB_005_0016	楊政 上福縣人	Người huyện Thượngphúc Đệ tam Giáp
HVB_005_0017	陳朝太宗皇帝	TRIỀU TRẦN Đời Vua THÁITÔNG HoàngĐể
HVB_005_0018	陶演 清化人	Người Thanhhóa
HVB_005_0019	武渭父 洪州人	VôvịPhụ 武 渭 父 Người vùng Dậtxuyên
HVB_005_0020	聖宗皇帝	THÁNHTÔNG HoàngĐế
HVB_005_0021	英宗皇帝	ANHTÔNG HoàngĐế NĂM GIÁPTHÌN
HVB_005_0022	李用光 李聖宗朝試文學俊秀中首選	LýdụngQuang 李用光 Đời vua Thánh tông triều Lý thi khoa vănhọc
HVB_005_0023	陳道載 陳聖宗朝十四歲中榜眼上相光啟之子	Đời vua Thánhtỏng triều Trần tuồi thi đỗ bảng nhẫn con ông Thượng tướng Trần quangKhải
HVB_005_0024	朱文安 青潭縣人陳明宗朝拜國子監司業贈文貞公從祀文廟	Người huyện ThanhLê đời vua Minh tông triều Trần làm chức quốctửgiám Tưnghiệp tặng Văntrinhcông được thờ ở Vănmiễu
HVB_005_0025	余潤之 建興府人陳大治七年擢進士第仕至仆射	DưnhuậnChi 余 潤 之 Người phủ Kiên hưng niên hiệu Đạitrị thứ triều
HVB_005_0026	范師孟	PhạmsưMạnh 范師孟 NguyễnhyChâu 阮希周
HVB_005_0027	黎朝太祖高皇帝	TRIỀU LÊ Đời vua THÁITỒ Cao HoàngĐế
HVB_005_0028	阮宗偉	NguyentôngVi阮宗偉 NĂM KỶDẬU
HVB_005_0029	朱三省 清潭縣人仕至翰院直學士	ChâutamTỉnh 朱三省 Người huyện Thanhđàm làm đến chức Hànlâmtrựchọcsĩ
HVB_005_0030	太宗文皇帝	Đời Vua THÁITÔNGVĂN HoàngĐế THÁNG NĂM ẤTMÃO
HVB_005_0031	阮日宣	NguyễnnhậtTuyên NguyếntửTăn阮日宣阮子晋
HVB_005_0032	父子登科 阮維則 仙侶千冬人仕至憲察使章之父	Hiếnsátsử Thản phụ ông Chương Cha con đều đăngkhoa NguyễncưĐạo 阮居道
HVB_005_0033	鄭克綏 永寧槊山人三十歲中	TrinhkhacTuy 鄭克 Người làng Sócsơn huyện Vĩnhninh Thi đỗ năm
