pair_id	han_sentence	viet_sentence
HVB_002_0000	定安南 安南	sachspnxbdhspeduwnGia AN NAM CHỈ NGUYEN安南
HVB_002_0001	八到 分野 郭鄉鎮 土城產池	Nam Sách chu 一南策州 Châu Nam Sách Nh t Ha Hông châu tam huyện FH Châu Hạ Hông huyện
HVB_002_0002	實出利謀上集大臣議之張輔等謂太宗經 士奇榮皆日求立陳氏後者太 表出利 本語發	余閑齋無事 因總省志及谷公應泰明史紀事本末與侍讀學 士李公仙根使事紀要二書纂輯成性題曰安南志紀要俾留
HVB_002_0003	安南志原卷第一十五	năm thứ trang cột Vĩnh Lạc thập ngũ niên 永樂十五年 năm Vinh Lạc thứ trang cột kim di
HVB_002_0004	安南志原卷第一	An Nam chi ki lược 安南志紀 An Nam chí luợc 安南志
HVB_002_0005	建昌府一三 奉化府縣四美西 古多翼府四河太举 建府州三	Lạng Giang Tam Giang Thái Nguyên Tuyên Hoá Kiến Bình Tân An Kiến Xương Phụng Hoá Thanh Hoá Trấn Man b
HVB_002_0006	南靖州二石東岸	phía tây bắc từ Giao Cương đổ lại nên gọi là Giao Chỉ Phía bắc giáp Quảng Tây Phía đông giáp Quảng Đông Phía tây giáp
HVB_002_0007	新平府	Thuận Vi Phủ Kiến Bình có
HVB_002_0008	政平州	Đông Quan hợp nhất với huyện Tiên Hưng thành huyện Đông Hưng tỉnh Thái Bình
HVB_002_0009	東西相距八百八十里南北 里百里	Từ đông sang tây cách nhau dặm từ nam đến bắc cách nhau dặm
HVB_002_0010	四至東至奉化府膠水縣海口界三百二十 三百里里西北至至雲思南明老憑宣	Địa giới phía đông đến cửa biển huyện Giao Thuỷ phủ Phụng Hoá dặm phía tây đến Vân Nam Lão Qua tuyên uý tỉ
HVB_002_0011	慰司界五百六十里南至占城國界一千 府	dặm phía nam đến nước Chiêm Thành dặm phía bắc đến huyện Bằng Tường thuộc phủ Tư Minh dặm
HVB_002_0012	祥縣界四百里 八到 北到廣東欽州二千里西南到占城國二千四百里	Phía đông giáp biển phía tây giáp Lão Qua phía nam cũng giáp biển phía bắc cách huyện Bằng Tường dặm phía đông
HVB_002_0013	東抵海西抵者 南抵海北抵憑祥縣四百七西東北南到抵廣海西東	nam cũng lại giáp biển phía đông bắc cách Khâm Châu thuộc Quảng Đông dặm phía tây nam cách nước Chiêm Thành
HVB_002_0014	安府一千五百里 東去六千六百二十里 到南京山城西去七十七百二十里 到北京西去一两一千一百六十五里 志日宋文帝元嘉中南往林邑五月立表之影在表之北 安南志原第一三十九	dặm phía tây bắc cách phủ Trấn An thuộc Quảng Tâydặm Đường đến Nam Kinh đi theo đường Quảng Tây dặm
HVB_002_0015	東究山名東 四十二 山在嘉定縣唐刺史高 建塔於其上	Núi Đông Cứu có tên nữa là núi Đông Cao ở huyện Gia Định Cao Biển Thứ sử nhà Đường dựng tháp ở trên núi đó
HVB_002_0016	於此 崑山在鳳眼縣陳元旦退之處上有清虛山腰有玉橋白 政司黃福 海江黎	Phượng Nhãn nay thuộc tỉnh Bắc Giang Côn Sơn thuộc Đông Triều tỉnh Hải Dương Bổ chú Phượng Nhãn nay thuộc huyện Chí Linh
HVB_002_0017	雲庵景物清幽樹木陰實山川之勝景也 泰華山在陸那縣然高大直抵諒山府 萬劫山在鳳眼縣巒盤 有茂林竹山橋流水之勝 可覺山在保麻縣樹木陰泉石清幽山有天庵 夷縣界	Núi Vạn Kiếp ở huyện Phượng Nhãn Núi non bát ngát rừng xanh tốt trúc rườm rà cầu bắc bên núi nước chảy dưới
HVB_002_0018	山府 目稍山在丘温縣峰秀峻上摩青舊日目隘 隘留山在丘温縣重樹木茂山中有隘留關 諒山舊名丘馬山在丘温縣屹然高出白雲常覆其上 安南志原卷第一	Núi Lạng Sơn tên cũ là núi Khưu Mã ở huyện Khưu Ôn sừng sững cao vót trên ngọn núi thường có mây trắng che phủ
